"Factor","Max_AUC_Level1","annotation_Level1","Max_AUC_Level2","annotation_Level2","residual"
"GP57",0.603580061739569,"DN",0.812339541571065,"CD8.P",0.208759479831496
"GP11",0.525677335460077,"CD4",0.808230942159549,"CD4.X",0.282553606699472
"GP156",0.591631724031341,"CD4",0.803627081213621,"gdT.Q",0.21199535718228
"GP183",0.544150074824132,"gdT",0.801669183135606,"Treg.P",0.257519108311473
"GP173",0.589804880767778,"Tz",0.798133979734891,"gdT.R",0.208329098967113
"GP189",0.575475843875812,"DN",0.796309540327876,"Tz.P",0.220833696452064
"GP159",0.537245796405473,"Treg",0.795944733985826,"CD4.T",0.258698937580352
"GP18",0.574297798264146,"Tz",0.791361929923473,"gdT.U",0.217064131659328
"GP71",0.531695502280623,"Treg",0.786685072114817,"CD4.Y",0.254989569834193
"GP192",0.593317436655722,"gdT",0.786166420318755,"CD8.K",0.192848983663033
"GP73",0.586115626544183,"DP",0.785694327331764,"gdT.U",0.19957870078758
"GP17",0.535102452737749,"Treg",0.783805026944745,"gdT.S",0.248702574206996
"GP67",0.602124499939052,"DN",0.781245468614058,"Tz.P",0.179120968675006
"GP113",0.509732053733688,"DN",0.776800773429113,"CD4.Y",0.267068719695425
"GP126",0.646410761445158,"DP",0.776197884276258,"DN.D",0.1297871228311
"GP47",0.572970392967343,"CD8aa",0.772815392096518,"CD4.Q",0.199844999129176
"GP128",0.55456081433788,"DN",0.768343306180463,"DN.A",0.213782491842583
"GP135",0.549620885773287,"Tz",0.765079595904852,"DN.P",0.215458710131565
"GP65",0.62919884052481,"DN",0.764977636829105,"Tz.P",0.135778796304295
"GP95",0.548388165561948,"DN",0.76049551028408,"CD8.P",0.212107344722132
"GP182",0.571857228322604,"DN",0.759841151556097,"DN.P",0.187983923233492
"GP78",0.567785934807912,"DN",0.758657576768737,"CD8.P",0.190871641960825
"GP166",0.540679179957882,"Treg",0.750778968006964,"gdT.R",0.210099788049082
"GP199",0.628448797907211,"DN",0.747441460704292,"CD4.Y",0.118992662797081
