"panel","lineage","drawn_in_4c","cluster","n_cells","gp","color","mean_loading","proportion"
"a","CD8",FALSE,"CD8.J",1203,"GP15","#000033FF",0.051391934961002,0.033177384452057
"a","CD8",FALSE,"CD8.K",214,"GP15","#000033FF",0.0908450795925279,0.0464470598172105
"a","CD8",FALSE,"CD8.Q",2445,"GP15","#000033FF",0.0528269352235396,0.0474487216662111
"a","CD8",FALSE,"CD8.R",1006,"GP15","#000033FF",0.0571447925147146,0.0493825729769786
"a","CD8",FALSE,"CD8.T",901,"GP15","#000033FF",0.0857555692107367,0.0818434450860032
"a","CD8",FALSE,"CD8.wV",481,"GP15","#000033FF",0.0540663221314301,0.0585108486890426
"a","CD8",FALSE,"CD8.wY",234,"GP15","#000033FF",0.0403524355316999,0.0292259220671056
"a","CD8",FALSE,"CD8.P",2393,"GP15","#000033FF",0.151852211899605,0.0893730491501615
"a","CD8",FALSE,"CD8.A",44112,"GP16","#FF00B6FF",0.0189524865430995,0.0220721054069788
"a","CD8",FALSE,"CD8.B",16066,"GP16","#FF00B6FF",0.00506030811179544,0.00637867585632493
"a","CD8",FALSE,"CD8.C",2600,"GP16","#FF00B6FF",0.0243007691474938,0.0229048622741541
"a","CD8",FALSE,"CD8.D",2195,"GP16","#FF00B6FF",0.0135426840922331,0.0129739446220293
"a","CD8",FALSE,"CD8.E",10027,"GP16","#FF00B6FF",0.00657857792476146,0.00580266693132414
"a","CD8",FALSE,"CD8.F",266,"GP16","#FF00B6FF",0.236724088007231,0.167586930769889
"a","CD8",FALSE,"CD8.G",997,"GP16","#FF00B6FF",0.00938866464930311,0.00746731043648899
"a","CD8",FALSE,"CD8.H",1366,"GP16","#FF00B6FF",0.0122769733707922,0.0104731590427524
"a","CD8",FALSE,"CD8.I",198,"GP16","#FF00B6FF",0.00607750818298489,0.00439867347729448
"a","CD8",FALSE,"CD8.J",1203,"GP16","#FF00B6FF",0.03442581036388,0.0222244666674404
"a","CD8",FALSE,"CD8.K",214,"GP16","#FF00B6FF",0.0229644396196065,0.0117412049773614
"a","CD8",FALSE,"CD8.Q",2445,"GP16","#FF00B6FF",0.0132424070586031,0.0118942218407239
"a","CD8",FALSE,"CD8.R",1006,"GP16","#FF00B6FF",0.0698656493717736,0.0603755018936714
"a","CD8",FALSE,"CD8.T",901,"GP16","#FF00B6FF",0.00384228687408169,0.00366700376054649
"a","CD8",FALSE,"CD8.wV",481,"GP16","#FF00B6FF",0.00737116630934974,0.00797711365570047
"a","CD8",FALSE,"CD8.wY",234,"GP16","#FF00B6FF",0.0846603025402384,0.0613166311182099
"a","CD8",FALSE,"CD8.P",2393,"GP16","#FF00B6FF",0.0164424743873039,0.00967726484312474
"a","CD8",FALSE,"CD8.A",44112,"GP20","#005300FF",0.000172969874584808,0.000201441077158175
"a","CD8",FALSE,"CD8.B",16066,"GP20","#005300FF",7.32873362949739e-05,9.23809681686065e-05
"a","CD8",FALSE,"CD8.C",2600,"GP20","#005300FF",0.00199745283749332,0.00188271333570614
"a","CD8",FALSE,"CD8.D",2195,"GP20","#005300FF",0.000150413497964735,0.00014409672260755
"a","CD8",FALSE,"CD8.E",10027,"GP20","#005300FF",0.0002909356154548,0.00025662118686619
"a","CD8",FALSE,"CD8.F",266,"GP20","#005300FF",0.000443953788139321,0.000314293544794063
"a","CD8",FALSE,"CD8.G",997,"GP20","#005300FF",6.62784594481739e-08,5.27148269150819e-08
