order,group
1,CD8.A
2,CD8.B
3,CD8.C
4,CD8.D
5,CD8.E
6,CD8.F
7,CD8.G
8,CD8.H
9,CD8.I
10,CD8.J
11,CD8.K
12,CD8.P
13,CD8.Q
14,CD8.R
15,CD8.S
16,CD8.T
17,CD8.wM
18,CD8.wU
19,CD8.wV
20,CD8.wX
21,CD8.wY
22,CD4.A
23,CD4.B
24,CD4.C
25,CD4.D
26,CD4.E
27,CD4.F
28,CD4.G
29,CD4.H
30,CD4.I
31,CD4.P
32,CD4.Q
33,CD4.R
34,CD4.S
35,CD4.T
36,CD4.U
37,CD4.wM
38,CD4.wN
39,CD4.wZ
40,CD4.X
41,CD4.Y
42,Treg.A
43,Treg.B
44,Treg.C
45,Treg.D
46,Treg.E
47,Treg.F
48,Treg.P
49,Treg.wM
50,gdT.A
51,gdT.B
52,gdT.C
53,gdT.D
54,gdT.E
55,gdT.F
56,gdT.G
57,gdT.H
58,gdT.I
59,gdT.J
60,gdT.K
61,gdT.P
62,gdT.Q
63,gdT.R
64,gdT.S
65,gdT.T
66,gdT.U
67,gdT.V
68,gdT.wM
69,gdT.X
70,gdT.Z
71,CD8aa.A
72,CD8aa.B
73,CD8aa.C
74,CD8aa.D
75,CD8aa.E
76,CD8aa.P
77,CD8aa.wM
78,Tz.A
79,Tz.B
80,Tz.C
81,Tz.D
82,Tz.P
83,Tz.wM
84,DN.A
85,DN.B
86,DN.C
87,DN.D
88,DN.E
89,DN.F
90,DN.G
91,DN.H
92,DN.I
93,DN.J
94,DN.P
95,DN.wM
96,DP.wA
97,DP.wB
98,DP.wC
99,DP.wD
100,DP.wE
101,DP.wF
102,DP.wG
103,DP.wH
104,DP.wM
105,DP.wP
106,DP.wX
107,DP.wY
