order,group
1,skin
2,placenta
3,submandibular gland
4,small intestine epi
5,kidney
6,small intestine LP
7,spleen
8,peritoneal cavity
9,bone marrow
10,CNS
11,colon epi
12,mammary gland
13,uterus
14,liver
15,colon LP
16,LN
17,blood
18,lung
