order,group
1,skin
2,placenta
3,kidney
4,liver
5,colon epi
6,small intestine epi
7,small intestine LP
8,colon LP
9,submandibular gland
10,peritoneal cavity
11,bone marrow
12,spleen
13,mammary gland
14,uterus
15,LN
16,lung
17,blood
18,CNS
