order,group
1,skin
2,small intestine LP
3,colon LP
4,placenta
5,kidney
6,liver
7,lung
8,submandibular gland
9,mammary gland
10,uterus
11,peritoneal cavity
12,bone marrow
13,blood
14,LN
15,spleen
16,CNS
17,small intestine epi
18,colon epi
