group,n_cells
blood,16017
bone marrow,8185
CNS,7
colon epi,5493
colon LP,14215
kidney,5630
liver,11360
LN,70360
lung,17945
mammary gland,3554
peritoneal cavity,4425
placenta,6667
skin,9507
small intestine epi,34702
small intestine LP,11230
spleen,115907
submandibular gland,1062
uterus,794
