"gene_symbol","signature_name","score"
"Tcf12","GP2_up",0.371072711731723
"Tnrc6b","GP2_up",0.367509296182805
"Ssh2","GP2_up",0.358489702720758
"Exoc4","GP2_up",0.357138455872062
"Sh3kbp1","GP2_up",0.349268428189635
"Pde3b","GP2_up",0.339226113624187
"Ankrd11","GP2_up",0.33852643741225
"Zeb1","GP2_up",0.335484395537773
"Zcchc7","GP2_up",0.32969701360122
"Bcl2","GP2_up",0.327028633611401
"Lncpint","GP2_up",0.326769701602155
"Pag1","GP2_up",0.321211526388798
"Hivep2","GP2_up",0.320863099598373
"Itk","GP2_up",0.31804087140966
"Fam172a","GP2_up",0.316845403115088
"Smyd3","GP2_up",0.31625148991528
"Rapgef6","GP2_up",0.315687777949733
"Celf2","GP2_up",0.305329237244117
"Peli1","GP2_up",0.303536564821244
"Esyt2","GP2_up",0.302429110036752
"Ncoa2","GP2_up",0.300115845074869
"Fyn","GP2_up",0.299731843491538
"Itpr2","GP2_up",0.299069776033508
"Nedd9","GP2_up",0.298001776970154
"Ablim1","GP2_up",0.296184761702826
"Foxn3","GP2_up",0.295777122460384
"Bcl11b","GP2_up",0.290519008404043
"Dock8","GP2_up",0.288690300116253
"Kansl1","GP2_up",0.287442635009915
"Lef1","GP2_up",0.285367104426569
"Msi2","GP2_up",0.285024484994658
"Prkca","GP2_up",0.284877937456859
"Aak1","GP2_up",0.280878233343523
"Arid1b","GP2_up",0.28031814585219
"Man1a","GP2_up",0.279883683681641
"Arhgef18","GP2_up",0.277288327860126
"Ankrd17","GP2_up",0.273985382245451
"Thada","GP2_up",0.273605128358223
"Nsd3","GP2_up",0.273530775874671
"Mycbp2","GP2_up",0.271021708659659
"Cblb","GP2_up",0.270886366509381
"Fgf13","GP2_up",0.270650656427761
"Dock11","GP2_up",0.270378329874835
"Pan3","GP2_up",0.267463612850094
"Stag1","GP2_up",0.266953650882276
"Nipbl","GP2_up",0.266094874656979
"Tcf20","GP2_up",0.265584376964454
"Ets1","GP2_up",0.264599709543116
"Itga4","GP2_up",0.261267744128601
"Fbxl17","GP2_up",0.261180728745804
"Lnpep","GP2_up",0.259887718804769
"Kmt2c","GP2_up",0.255593793753127
"Pip4k2a","GP2_up",0.25501445343117
"Atp11b","GP2_up",0.254382481613926
"Stim1","GP2_up",0.249693812814971
"Huwe1","GP2_up",0.247277566524606
"Scml4","GP2_up",0.247202972907828
"Arih1","GP2_up",0.246876788927009
"Fryl","GP2_up",0.246470479978821
"Phf21a","GP2_up",0.246445712068967
"Znrf3","GP2_up",0.24624332110956
"Slco3a1","GP2_up",0.244202769349808
"Abtb2","GP2_up",0.244126315913158
"Arhgef3","GP2_up",0.241433866578142
"Cyth1","GP2_up",0.240790841518304
"Ext1","GP2_up",0.240703376412328
"Tmsb10","GP2_down",-1
"Tmsb4x","GP2_down",-0.933472093635717
"Fau","GP2_down",-0.920362684095058
"Pfn1","GP2_down",-0.714473553978172
"Ppia","GP2_down",-0.692322101842201
"Eef1a1","GP2_down",-0.627804761511759
"Tpt1","GP2_down",-0.619375567485072
"Cd52","GP2_down",-0.612522599467453
"Actb","GP2_down",-0.611642581566412
"Eef1b2","GP2_down",-0.545824643541442
"Fth1","GP2_down",-0.545714451910715
"Limd2","GP2_down",-0.542851926490518
"Naca","GP2_down",-0.525607389803962
"Coro1a","GP2_down",-0.516035739329758
"Rac2","GP2_down",-0.504513750207845
"Cfl1","GP2_down",-0.493649789252754
"Arhgdib","GP2_down",-0.48164395047863
"Ubb","GP2_down",-0.471886550079444
"Ifi27l2a","GP2_down",-0.4609804076594
"Ftl1","GP2_down",-0.444750312318723
"Eif3f","GP2_down",-0.444212312657654
"Ptma","GP2_down",-0.441262962460442
"Actg1","GP2_down",-0.439355031174289
"Atp5e","GP2_down",-0.43538127263627
"Ptpn18","GP2_down",-0.433450359543658
"H3f3b","GP2_down",-0.432499639639626
"Sh3bgrl3","GP2_down",-0.432400936151395
"Eif1","GP2_down",-0.429605369655448
"Oaz1","GP2_down",-0.425975301718903
"Myl6","GP2_down",-0.413618808698526
"Mir6236","GP2_down",-0.394492728081796
"Npm1","GP2_down",-0.392565320167726
"Cox4i1","GP2_down",-0.390717260178176
"Pfdn5","GP2_down",-0.376459076590181
"Btf3","GP2_down",-0.372898771393028
"Hexb","GP2_down",-0.37229957853146
"Cnn2","GP2_down",-0.371580585109205
"Klf2","GP2_down",-0.370526576694515
"Psmb8","GP2_down",-0.369985633298864
"Cox8a","GP2_down",-0.362437579208583
"B2m","GP2_down",-0.361153184516047
"Ucp2","GP2_down",-0.358066292168649
"Cd3d","GP2_down",-0.357911202486886
"Uqcrh","GP2_down",-0.356333363912475
"Selenow","GP2_down",-0.353913231085008
"CT010467.1","GP2_down",-0.345904067929197
"Tle5","GP2_down",-0.343544549968292
"Cdk8","GP2_down",-0.340363271018965
"Hsp90ab1","GP2_down",-0.339451180326845
"Hspa8","GP2_down",-0.338373010565281
"Calm1","GP2_down",-0.326704409776004
"Atp5g3","GP2_down",-0.326447636401639
"S100a10","GP2_down",-0.326023101495782
"Serf2","GP2_down",-0.31982986268399
"Atp5h","GP2_down",-0.319602066826899
"Eef2","GP2_down",-0.317122064774979
"Cd3g","GP2_down",-0.315734290312985
"Gng5","GP2_down",-0.301204552621674
"Arpc1b","GP2_down",-0.297196955958439
"Psme1","GP2_down",-0.296936940292528
"Lat","GP2_down",-0.292939051453541
"Eif5a","GP2_down",-0.29179876928166
"Ltb","GP2_down",-0.291552235761353
"Rack1","GP2_down",-0.289952194013063
"Rbm3","GP2_down",-0.287916013359163
"Septin1","GP2_down",-0.280347093337362
"Crip1","GP2_down",-0.279707438473897
"Psme2","GP2_down",-0.278343477009489
"Ppp1ca","GP2_down",-0.27580197056274
"Ldha","GP2_down",-0.273078505489616
"Eef1d","GP2_down",-0.271841153308489
"Jund","GP2_down",-0.270115140858198
"Atp5d","GP2_down",-0.269780825259411
"Cnbp","GP2_down",-0.267473251914824
"Arf5","GP2_down",-0.263790801948979
"Atp5g2","GP2_down",-0.26314218355927
"H3f3a","GP2_down",-0.262283366769491
"Gnai2","GP2_down",-0.260552888625738
"Eif3h","GP2_down",-0.257984630402302
"Lars2","GP2_down",-0.257003026685358
"Fxyd5","GP2_down",-0.254370903285844
"Snrpg","GP2_down",-0.252787708605855
"Arpc3","GP2_down",-0.250879291120744
"Ndufa6","GP2_down",-0.248985507359304
"Cox6b1","GP2_down",-0.246796191473962
"Hcst","GP2_down",-0.245343462229006
"Atp5j2","GP2_down",-0.245139759628435
"Ly6e","GP2_down",-0.244946824891627
"Ndufa4","GP2_down",-0.243047515025519
"Sec61b","GP2_down",-0.242678728035537
"Tubb5","GP2_down",-0.242190762817161
"Eif3k","GP2_down",-0.239158852364516
"Slc25a5","GP2_down",-0.239121158951091
"Cdk2ap2","GP2_down",-0.236832409561982
"Tspo","GP2_down",-0.236830567687854
"Clic1","GP2_down",-0.23556626001581
"Cd3e","GP2_down",-0.225489733754069
"Cox6c","GP2_down",-0.225308007502583
"Snrpe","GP2_down",-0.224657776578173
"Shisa5","GP2_down",-0.224030423337538
"Gzma","GP3_up",1
"Cd7","GP3_up",0.934917873812816
"Ccl5","GP3_up",0.837218797179571
"Fcer1g","GP3_up",0.733992801319489
"Tyrobp","GP3_up",0.626014195767444
"Rgs1","GP3_up",0.574155787115776
"Gzmb","GP3_up",0.532778396535129
"Cd8a","GP3_up",0.425429524477833
"Junb","GP3_up",0.337677951285217
"Nkg7","GP3_up",0.323169446560161
"Dapk2","GP3_up",0.314997875364189
"Ctsw","GP3_up",0.311103901366358
"Itgae","GP3_up",0.302870793721221
"Nr4a2","GP3_up",0.266522840358729
"Chn2","GP3_up",0.262672885966617
"AW112010","GP3_up",0.237088246078595
"Klrd1","GP3_up",0.234127461263389
"Car2","GP3_up",0.229603832762714
"Litaf","GP3_up",0.221914187307666
"Ikzf2","GP3_up",0.220229572895759
"Il2rb","GP3_up",0.219613822001069
"Vps37b","GP3_up",0.212002549072454
"Neurl3","GP3_up",0.208855173015982
"Cd160","GP3_up",0.195848484285522
"Cd200r2","GP3_up",0.1940765082289
"Cst7","GP3_up",0.183449523280934
"Abi3","GP3_up",0.182602862749516
"Dusp1","GP3_up",0.182390546199128
"Tnfaip3","GP3_up",0.180497743863626
"Cd3g","GP3_up",0.170231255395067
"Ostf1","GP3_up",0.163919846831064
"Mfsd10","GP3_up",0.161772363484407
"Cd96","GP3_up",0.161282856720779
"Dennd4a","GP3_up",0.156169455087513
"Cd244a","GP3_up",0.155517542634979
"Acot7","GP3_up",0.153202542376636
"Fgl2","GP3_up",0.152760015725105
"Xcl1","GP3_up",0.149755859151899
"Abcb1a","GP3_up",0.144720036618931
"Clnk","GP3_up",0.142315986234123
"Fos","GP3_up",0.141316225600165
"Cables1","GP3_up",0.13647892107952
"Lag3","GP3_up",0.135967827076294
"Bhlhe40","GP3_up",0.135421743697977
"Pnrc1","GP3_up",0.134823557036804
"Cd200r4","GP3_up",0.129448870918691
"Tnfrsf9","GP3_up",0.12894731842629
"Ikzf3","GP3_up",0.128572881883397
"Efhd2","GP3_up",0.12839920862362
"Prkch","GP3_up",0.127394472696968
"Itga1","GP3_up",0.126122782824972
"Lat2","GP3_up",0.125356781454762
"Zfp36l1","GP3_up",0.124613985304085
"Sh2d2a","GP3_up",0.124199314864949
"Ctsc","GP3_up",0.124069143604573
"Myo1e","GP3_up",0.123603317327061
"Prrt1","GP3_up",0.121465388670853
"Sytl3","GP3_up",0.120905481642576
"Mbd2","GP3_up",0.12023975714925
"Cebpb","GP3_up",0.118870969787243
"Ptpn22","GP3_up",0.118414456550789
"Klra5","GP3_up",0.117467351156606
"Rgs2","GP3_up",0.117391735191352
"Cd200r1","GP3_up",0.116822662297735
"Cited4","GP3_up",0.115572084714042
"Klrb1a","GP3_up",0.115533624627922
"Cela1","GP3_up",0.115396997739385
"Gimap7","GP3_up",0.11474701851599
"Camk1d","GP3_up",0.112174022211236
"Ptpn6","GP3_up",0.110818779051515
"Ier5l","GP3_up",0.110487071015772
"Chst12","GP3_up",0.10925325014829
"Btg2","GP3_up",0.109176661081078
"Dusp5","GP3_up",0.108798476871995
"Fasl","GP3_up",0.108302270296063
"Jaml","GP3_up",0.107197708063677
"Cd3e","GP3_up",0.1064288538673
"Stat4","GP3_up",0.105159002544991
"Epcam","GP3_up",0.104261980843053
"Osgin1","GP3_up",0.104211292957452
"Pik3r1","GP3_up",0.104033969390327
"Ncf1","GP3_up",0.10371371302618
"Ddc","GP3_up",0.103247875281741
"Asb2","GP3_up",0.102577028527315
"Snx18","GP3_up",0.101306936527335
"Kit","GP3_up",0.101038749055482
"Tmsb10","GP3_down",-0.731266684853407
"Tpt1","GP3_down",-0.719992507397835
"CT010467.1","GP3_down",-0.677609777470284
"Actb","GP3_down",-0.594613022021959
"Tmsb4x","GP3_down",-0.570121063806403
"Eef1a1","GP3_down",-0.564791644346241
"Ms4a4b","GP3_down",-0.544401376794609
"Fau","GP3_down",-0.49124631487352
"Rack1","GP3_down",-0.485597309783841
"Pfn1","GP3_down",-0.458402460908118
"Ltb","GP3_down",-0.441131123857339
"Lgals1","GP3_down",-0.435636951518613
"Eef1b2","GP3_down",-0.413092284610971
"Cd52","GP3_down",-0.407520224283523
"Coro1a","GP3_down",-0.405770478601214
"Klf2","GP3_down",-0.403983936769611
"Ppia","GP3_down",-0.391518312125633
"H2-K1","GP3_down",-0.38661633861593
"Arhgdib","GP3_down",-0.370072711616549
"Tagln2","GP3_down",-0.369774784000039
"Crip1","GP3_down",-0.367000721899261
"S100a6","GP3_down",-0.351672347443197
"Thy1","GP3_down",-0.350798167484179
"Arhgap15","GP3_down",-0.349352114900263
"Cfl1","GP3_down",-0.342480584837498
"Ly6e","GP3_down",-0.340940834330692
"Hsp90ab1","GP3_down",-0.33567568010483
"H2-D1","GP3_down",-0.331896900583335
"Cmss1","GP3_down",-0.326489724113144
"Lat","GP3_down",-0.320726646980064
"Emp3","GP3_down",-0.319415162644713
"Ly6a","GP3_down",-0.317981156622032
"Naca","GP3_down",-0.315060071191764
"Lef1","GP3_down",-0.305573117390445
"Mir6236","GP3_down",-0.299266378889048
"Sh3bgrl3","GP3_down",-0.299229173438466
"Fxyd5","GP3_down",-0.298708203271572
"Ms4a6b","GP3_down",-0.298293808399763
"Npm1","GP3_down",-0.295709954552838
"B2m","GP3_down",-0.289405698139104
"Inpp4b","GP3_down",-0.275927388418082
"Il7r","GP3_down",-0.27248216520252
"Cdk8","GP3_down",-0.270871606851555
"Limd2","GP3_down",-0.269528747178784
"Rac2","GP3_down",-0.267404094696299
"Ifi27l2a","GP3_down",-0.259150066306132
"Dock2","GP3_down",-0.251176976261398
"S100a10","GP3_down",-0.249288777393455
"Vim","GP3_down",-0.246653711605777
"Cd2","GP3_down",-0.243884735765275
"Ptpn18","GP3_down",-0.242616453026392
"Atp1b3","GP3_down",-0.241162898163071
"Malat1","GP3_down",-0.239148368576733
"Eef2","GP3_down",-0.232518479188565
"Calm1","GP3_down",-0.230618522057534
"Hspa8","GP3_down",-0.225528172763524
"Shisa5","GP3_down",-0.224791668291017
"Fth1","GP3_down",-0.219785259346269
"Cd8b1","GP3_down",-0.217436955030355
"Rap1b","GP3_down",-0.21702653626626
"Npc2","GP3_down",-0.216476558492486
"Tcf7","GP3_down",-0.214362980526287
"Skap1","GP3_down",-0.207605796357253
"Ptma","GP3_down",-0.206709238310308
"Cdk2ap2","GP3_down",-0.20065087963308
"Msn","GP3_down",-0.198244411741597
"H3f3a","GP3_down",-0.196197518716714
"Ly6c2","GP3_down",-0.195137790252063
"Adgre5","GP3_down",-0.194575109092671
"Btf3","GP3_down",-0.194283641737891
"Cd47","GP3_down",-0.19325425285561
"Eif3f","GP3_down",-0.189273005984469
"Myl6","GP3_down",-0.187666870486197
"Foxp1","GP3_down",-0.184315315834249
"Arpc2","GP3_down",-0.176285767969195
"Cox4i1","GP3_down",-0.17085812300216
"Ripor2","GP3_down",-0.169389818948215
"Ccnd3","GP3_down",-0.169214997468557
"Themis","GP3_down",-0.167976708083869
"Tpm3","GP3_down",-0.167250471861872
"Ptprcap","GP3_down",-0.166925952111681
"Eif3h","GP3_down",-0.165615993419091
"Actg1","GP3_down",-0.165464215260592
"Sh3kbp1","GP3_down",-0.160734548609042
"H2-Q7","GP3_down",-0.157119453592891
"Satb1","GP3_down",-0.15711584741616
"Cyba","GP3_down",-0.156791590862957
"Selenow","GP3_down",-0.156052070757043
"Tubb5","GP3_down",-0.15563175802444
"Rabac1","GP3_down",-0.155168777753962
"Slfn2","GP3_down",-0.154963086245628
"Hnrnpf","GP3_down",-0.154877419879627
"Grap2","GP3_down",-0.154199950765171
"Arhgap45","GP3_down",-0.154051116456776
"Fkbp1a","GP3_down",-0.153638438937937
"Oaz1","GP3_down",-0.15292765160083
"Prkcq","GP3_down",-0.152827347107837
"Uqcrh","GP3_down",-0.152105250160057
"Cdc42","GP3_down",-0.15107950372369
"Cd5","GP3_down",-0.150388486863354
"Tmsb10","GP4_up",1
"Fau","GP4_up",0.93360145126277
"CT010467.1","GP4_up",0.875690059292616
"Pfn1","GP4_up",0.851073248337315
"Ppia","GP4_up",0.805028752909581
"Limd2","GP4_up",0.777695127185456
"Rac2","GP4_up",0.72704225280072
"Ubb","GP4_up",0.71944153169546
"Ccl5","GP4_up",0.676442798263292
"Arhgdib","GP4_up",0.635909999881505
"Fth1","GP4_up",0.622445059314329
"Actb","GP4_up",0.617867221527238
