ebmf_factor,rematched_rqvi_candidate,pearson_r_match_basis_108,pearson_r_display_basis_107,same_as_shipped
F1,seed3:GP24,0.631257395389066,0.6309270899355465,True
F2,seed7:GP20,0.9809339751548616,0.9809368704461676,False
F3,seed6:GP188,0.8630085152202083,0.8627960938721267,True
F4,seed1:GP104,0.5659174878004418,0.5679155228220247,False
F5,seed8:GP62,0.9893364142886375,0.9893666682050818,False
F6,seed4:GP13,0.8942560836429115,0.8943060400893675,True
F7,seed2:GP208,0.9786382340815319,0.9787374190960926,True
F8,seed8:GP45,0.9022434193020823,0.902271107184887,True
F9,seed5:GP37,0.7682596102749829,0.768789874122479,True
F10,seed7:GP18,0.9508372007093908,0.9508134512385621,True
F11,seed2:GP28,0.7621274508144197,0.7616068699522557,False
F12,seed8:GP100,0.774435122505578,0.7747482714251419,False
F13,seed7:GP21,0.9440689978728157,0.944484302672287,True
F14,seed8:GP214,0.9973046839017968,0.9973114353777079,True
F15,seed9:GP50,0.9566377551138041,0.9565309201464393,True
F16,seed0:GP31,0.9792315055630411,0.979481431324931,True
F17,seed2:GP107,0.6203708085476902,0.6215498581401743,False
F18,seed2:GP56,0.8275932948296356,0.839534255071627,False
F19,seed7:GP95,0.7381669078310726,0.7387131481158695,False
F20,seed6:GP18,0.973541402904978,0.9735636003393097,True
F21,seed0:GP60,0.9977134237265458,0.9977143301175542,True
F22,seed6:GP96,0.8988777455481296,0.8987272175158804,True
F23,seed2:GP64,0.7385163544781479,0.7401969043419625,False
F24,seed5:GP130,0.5480649905632655,0.5509884941166281,False
F25,seed7:GP86,0.8273543923044835,0.827872640179055,True
F26,seed2:GP68,0.7917071467183091,0.7911966798111001,True
F27,seed7:GP1,0.9389586764917093,0.9389782843826399,True
F28,seed9:GP42,0.8809605411367362,0.8810826509137597,False
F29,seed2:GP73,0.8706037588352276,0.8714998784481157,True
F30,seed5:GP112,0.9334850256538076,0.9333560108945115,True
F31,seed3:GP202,0.6102119001100014,0.6138872366466447,False
F32,seed5:GP107,0.6712643227580116,0.6712265181044865,True
F33,seed4:GP108,0.5106640481855356,0.5106306453685635,False
F34,seed4:GP216,0.9560000270318973,0.9578783977494444,False
F35,seed2:GP67,0.8665671555781865,0.8658926986713307,False
F36,seed6:GP109,0.9371306690613836,0.9371224195258603,True
F37,seed0:GP28,0.9151409605725243,0.9151065750549636,False
F38,seed4:GP170,0.5600532147165007,0.5593890620679064,False
F39,seed2:GP22,0.7721626295549174,0.7726772374679084,False
F40,seed2:GP198,0.8313378390980548,0.8352766747377589,False
F41,seed0:GP74,0.7478583407972581,0.747910457614113,True
F42,seed8:GP63,0.7950829711267763,0.798872733717661,False
F43,seed8:GP192,0.5198089141305976,0.5190972256113483,False
F44,seed5:GP247,0.6875904916724463,0.6876096597990238,False
F45,seed5:GP197,0.7107170861365935,0.7106143590329312,False
F46,seed4:GP206,0.6938868432516643,0.7053465591323541,False
F47,seed6:GP25,0.5497896745620204,0.5493766985582946,False
F48,seed3:GP58,0.9238163225875526,0.9255092890742764,False
F49,seed5:GP2,0.6887855017706577,0.6970812140637245,True
F50,seed5:GP146,0.7216089236336435,0.7215397084539286,False
F51,seed1:GP208,0.455903988158984,0.4593234839737344,False
F52,seed0:GP175,0.49645849678962234,0.4957667352787595,False
F53,seed9:GP34,0.8277421122581825,0.8279829284757309,True
F54,seed4:GP23,0.6604808626930088,0.6604555309841239,True
F55,seed3:GP10,0.7674446706884823,0.7672682800919286,True
F56,seed7:GP234,0.9302123519374815,0.9302808286662569,True
F57,seed1:GP28,0.7203178638548318,0.7204632727433943,False
F58,seed1:GP110,0.8464647161931248,0.8461657819019053,True
F59,seed5:GP205,0.9005923398561878,0.904357168566997,True
F60,seed2:GP147,0.8590044481581935,0.8589896107598238,False
F61,seed2:GP34,0.684163047154949,0.684100393436473,True
F62,seed6:GP124,0.9582669163760381,0.9582212909162796,True
F63,seed8:GP185,0.5874076655659459,0.5846391463655801,False
F64,seed0:GP214,0.5146683935234401,0.5179570438615522,False
F65,seed6:GP252,0.7236851266568088,0.7236476155138353,False
F66,seed0:GP57,0.5591834940531373,0.5590217904475362,True
F67,seed5:GP30,0.5426735595656065,0.5422057692457366,False
F68,seed3:GP76,0.933040075927919,0.9394907890018156,True
F69,seed7:GP236,0.9468944821305553,0.9470624117967562,False
F70,seed5:GP173,0.5145578092785655,0.5150242251831734,False
F71,seed9:GP248,0.6801984597261713,0.6798614682850742,False
F72,seed8:GP40,0.9374112290380436,0.9373224146821221,True
F73,seed7:GP19,0.7063927467726221,0.7069843600162716,False
