"panel","lineage","gp","color","max_auc_in_lineage"
"s8e","CD8aa","GP3","#A10300FF",0.968454415857481
"s8e","CD8aa","GP22","#FFD300FF",0.947787321098444
"s8e","CD8aa","GP29","#628402FF",0.965570130209912
"s8e","CD8aa","GP62","#ABF5CCFF",0.973453603061702
"s8e","CD8aa","GP121","#766C95FF",0.953827620994798
"s8e","CD8aa","GP127","#4A276CFF",0.914505771722465
"s8e","CD8aa","GP171","#720055FF",0.955301235524049
"s8f","Tz","GP2","#6A0100FF",0.96198965793509
"s8f","Tz","GP5","#FB766FFF",0.976867730511082
"s8f","Tz","GP6","#9A4D42FF",0.955849695554994
"s8f","Tz","GP13","#563500FF",0.978093364213586
"s8f","Tz","GP21","#FFF2BBFF",0.924223963698078
"s8f","Tz","GP30","#B1CC71FF",0.992105080397934
"s8f","Tz","GP44","#005300FF",0.922287460290475
"s8f","Tz","GP121","#766C95FF",0.927070205660329
"s8f","Tz","GP151","#DD00FFFF",0.950603729066207
"s8f","Tz","GP162","#422D42FF",0.927275090685467
"s8g","DN","GP2","#6A0100FF",0.970839918468711
"s8g","DN","GP5","#FB766FFF",0.977666671616084
"s8g","DN","GP10","#A75413FF",0.969519597681978
"s8g","DN","GP12","#B58354FF",0.906110567079143
"s8g","DN","GP16","#CF9500FF",0.953483209935461
"s8g","DN","GP21","#FFF2BBFF",0.937870603061709
"s8g","DN","GP22","#FFD300FF",0.981350590438778
"s8g","DN","GP29","#628402FF",0.919632036558949
"s8g","DN","GP30","#B1CC71FF",0.96899831089341
"s8g","DN","GP44","#005300FF",0.928353857946784
"s8g","DN","GP63","#00FF83FF",0.905155968736899
"s8g","DN","GP80","#009FFFFF",0.902436387518709
"s8g","DN","GP101","#0010A6FF",0.976695874824603
"s8g","DN","GP117","#C3BBFFFF",0.926866503033154
"s8g","DN","GP121","#766C95FF",0.938269695247873
"s8g","DN","GP122","#783FC1FF",0.938665697948983
"s8g","DN","GP127","#4A276CFF",0.942555903183027
