"panel","lineage","cluster","n_cells_healthy","n_cells_drawn"
"s8a","CD8","CD8.A",44112,2000
"s8a","CD8","CD8.B",16066,2000
"s8a","CD8","CD8.C",2600,2000
"s8a","CD8","CD8.D",2195,2000
"s8a","CD8","CD8.E",10027,2000
"s8a","CD8","CD8.F",266,266
"s8a","CD8","CD8.G",997,997
"s8a","CD8","CD8.H",1366,1366
"s8a","CD8","CD8.I",198,198
"s8a","CD8","CD8.J",1203,1203
"s8a","CD8","CD8.K",214,214
"s8a","CD8","CD8.P",2393,2000
"s8a","CD8","CD8.Q",2445,2000
"s8a","CD8","CD8.R",1006,1006
"s8a","CD8","CD8.S",99,0
"s8a","CD8","CD8.T",901,901
"s8a","CD8","CD8.wM",6174,2000
"s8a","CD8","CD8.wU",81,0
"s8a","CD8","CD8.wV",481,481
"s8a","CD8","CD8.wX",30,0
"s8a","CD8","CD8.wY",234,234
"s8b","CD4","CD4.A",27164,2000
"s8b","CD4","CD4.B",25938,2000
"s8b","CD4","CD4.C",38133,2000
"s8b","CD4","CD4.D",4945,2000
"s8b","CD4","CD4.E",3414,2000
"s8b","CD4","CD4.F",4265,2000
"s8b","CD4","CD4.G",6666,2000
"s8b","CD4","CD4.H",1958,1958
"s8b","CD4","CD4.I",1028,1028
"s8b","CD4","CD4.P",1035,1035
"s8b","CD4","CD4.Q",3809,2000
"s8b","CD4","CD4.R",512,512
"s8b","CD4","CD4.S",300,300
"s8b","CD4","CD4.T",495,495
"s8b","CD4","CD4.U",23,0
"s8b","CD4","CD4.wM",10543,2000
"s8b","CD4","CD4.wN",1162,1162
"s8b","CD4","CD4.wZ",468,468
"s8b","CD4","CD4.X",887,887
"s8b","CD4","CD4.Y",616,616
"s8c","Treg","Treg.A",8101,2000
"s8c","Treg","Treg.B",2510,2000
"s8c","Treg","Treg.C",974,974
"s8c","Treg","Treg.D",3819,2000
"s8c","Treg","Treg.E",1866,1866
"s8c","Treg","Treg.F",2941,2000
"s8c","Treg","Treg.P",1786,1786
"s8c","Treg","Treg.wM",654,654
"s8d","gdT","gdT.A",2231,2000
"s8d","gdT","gdT.B",5563,2000
"s8d","gdT","gdT.C",1319,1319
"s8d","gdT","gdT.D",4354,2000
"s8d","gdT","gdT.E",636,636
"s8d","gdT","gdT.F",6349,2000
"s8d","gdT","gdT.G",1411,1411
"s8d","gdT","gdT.H",567,567
"s8d","gdT","gdT.I",3705,2000
"s8d","gdT","gdT.J",40,0
"s8d","gdT","gdT.K",2112,2000
"s8d","gdT","gdT.P",2313,2000
"s8d","gdT","gdT.Q",945,945
"s8d","gdT","gdT.R",1479,1479
"s8d","gdT","gdT.S",1526,1526
"s8d","gdT","gdT.T",218,218
"s8d","gdT","gdT.U",1518,1518
"s8d","gdT","gdT.V",1883,1883
"s8d","gdT","gdT.wM",1732,1732
"s8d","gdT","gdT.X",2,0
"s8d","gdT","gdT.Z",3331,2000
"s8e","CD8aa","CD8aa.A",8296,2000
"s8e","CD8aa","CD8aa.B",1678,1678
"s8e","CD8aa","CD8aa.C",2465,2000
"s8e","CD8aa","CD8aa.D",1350,1350
"s8e","CD8aa","CD8aa.E",1138,1138
"s8e","CD8aa","CD8aa.P",503,503
"s8e","CD8aa","CD8aa.wM",247,247
"s8f","Tz","Tz.A",6663,2000
"s8f","Tz","Tz.B",846,846
"s8f","Tz","Tz.C",1939,1939
"s8f","Tz","Tz.D",1565,1565
"s8f","Tz","Tz.P",228,228
"s8f","Tz","Tz.wM",706,706
"s8g","DN","DN.A",579,579
"s8g","DN","DN.B",3462,2000
"s8g","DN","DN.C",1757,1757
"s8g","DN","DN.D",1680,1680
"s8g","DN","DN.E",1946,1946
"s8g","DN","DN.F",76,0
"s8g","DN","DN.G",70,0
"s8g","DN","DN.H",504,504
"s8g","DN","DN.I",232,232
"s8g","DN","DN.J",107,107
"s8g","DN","DN.P",320,320
"s8g","DN","DN.wM",822,822
