"panel","lineage","gp","color","max_auc_in_lineage"
"a","CD8","GP2","#0000FFFF",0.968604941601745
"a","CD8","GP5","#FF0000FF",0.963392198248502
"a","CD8","GP10","#00FF00FF",0.971967329606364
"a","CD8","GP15","#000033FF",0.92832877438421
"a","CD8","GP16","#FF00B6FF",0.979021267367602
"a","CD8","GP20","#005300FF",0.915557282589714
"a","CD8","GP25","#FFD300FF",0.96462710073396
"a","CD8","GP26","#009FFFFF",0.939323069668291
"a","CD8","GP29","#9A4D42FF",0.94155439016047
"a","CD8","GP32","#00FFBEFF",0.909105385074736
"a","CD8","GP37","#783FC1FF",0.922651046963616
"a","CD8","GP44","#1F9698FF",0.912806912614089
"a","CD8","GP58","#FFACFDFF",0.933065726162465
"a","CD8","GP77","#B1CC71FF",0.922867675695392
"a","CD8","GP80","#F1085CFF",0.924493258507487
"a","CD8","GP118","#FE8F42FF",0.953290449541794
"b","CD4","GP1","#0000FFFF",0.932988688841445
"b","CD4","GP2","#FF0000FF",0.965318592461022
"b","CD4","GP4","#00FF00FF",0.948045588361904
"b","CD4","GP5","#000033FF",0.979080590895188
"b","CD4","GP6","#FF00B6FF",0.992453381215331
"b","CD4","GP10","#005300FF",0.963952537910281
"b","CD4","GP12","#FFD300FF",0.966651050488243
"b","CD4","GP13","#009FFFFF",0.960771645562056
"b","CD4","GP16","#9A4D42FF",0.959300741074147
"b","CD4","GP21","#00FFBEFF",0.917590727340494
"b","CD4","GP25","#783FC1FF",0.962858532159603
"b","CD4","GP26","#1F9698FF",0.914585688172986
"b","CD4","GP36","#FFACFDFF",0.980142220267991
"b","CD4","GP56","#B1CC71FF",0.93828016044168
"b","CD4","GP72","#F1085CFF",0.986457521268663
"b","CD4","GP79","#FE8F42FF",0.961799527905203
"b","CD4","GP80","#DD00FFFF",0.920980224914054
"b","CD4","GP152","#201A01FF",0.966950125969904
"b","CD4","GP161","#720055FF",0.924253734281554
"b","CD4","GP162","#766C95FF",0.915998336961038
"b","CD4","GP170","#02AD24FF",0.929876990200179
"b","CD4","GP177","#C8FF00FF",0.96488344429655
"c","Treg","GP2","#0000FFFF",0.944720702181966
"c","Treg","GP5","#FF0000FF",0.97237531134051
"c","Treg","GP6","#00FF00FF",0.943916656899643
"c","Treg","GP12","#000033FF",0.927318562545514
"c","Treg","GP15","#FF00B6FF",0.956430614262573
"c","Treg","GP21","#005300FF",0.901931624296114
"c","Treg","GP25","#FFD300FF",0.900076765946599
"c","Treg","GP27","#009FFFFF",0.98788304658898
"c","Treg","GP68","#9A4D42FF",0.976195025415053
"c","Treg","GP152","#00FFBEFF",0.977156264535223
"c","Treg","GP196","#783FC1FF",0.91992593644527
"d","gdT","GP1","#0000FFFF",0.94616846731374
"d","gdT","GP2","#FF0000FF",0.969143499800657
"d","gdT","GP3","#00FF00FF",0.97604892011967
"d","gdT","GP6","#000033FF",0.981957109458386
"d","gdT","GP7","#FF00B6FF",0.995045421163133
"d","gdT","GP8","#005300FF",0.997140045621447
"d","gdT","GP13","#FFD300FF",0.991018430658927
"d","gdT","GP15","#009FFFFF",0.98761340778145
"d","gdT","GP17","#9A4D42FF",0.965709165781557
"d","gdT","GP21","#00FFBEFF",0.941966961175821
"d","gdT","GP23","#783FC1FF",0.938943269428765
"d","gdT","GP28","#1F9698FF",0.950290454461843
"d","gdT","GP29","#FFACFDFF",0.974592374572576
"d","gdT","GP30","#B1CC71FF",0.901953090360179
"d","gdT","GP49","#F1085CFF",0.942090085385898
"d","gdT","GP62","#FE8F42FF",0.980063325249235
"d","gdT","GP68","#DD00FFFF",0.926914655637902
"d","gdT","GP69","#201A01FF",0.939867915907648
"d","gdT","GP71","#720055FF",0.940922630526497
"d","gdT","GP72","#766C95FF",0.957238073890878
"d","gdT","GP73","#02AD24FF",0.95239395000267
"d","gdT","GP79","#C8FF00FF",0.969306469509699
"d","gdT","GP81","#886C00FF",0.951681906378131
"d","gdT","GP85","#FFB79FFF",0.932953030264933
"d","gdT","GP93","#858567FF",0.94843488236683
"d","gdT","GP100","#A10300FF",0.977481620629606
"d","gdT","GP101","#14F9FFFF",0.943112164671956
"d","gdT","GP107","#00479EFF",0.976336679475243
"d","gdT","GP110","#DC5E93FF",0.908739742121534
"d","gdT","GP113","#93D4FFFF",0.953843255463451
"d","gdT","GP117","#004CFFFF",0.9052848471183
"d","gdT","GP121","#004250FF",0.978138300732215
"d","gdT","GP150","#39A76AFF",0.935117920462215
"d","gdT","GP151","#EE70FEFF",0.947286520420818
"d","gdT","GP162","#000064FF",0.982208157609629
"d","gdT","GP167","#ABF5CCFF",0.940738685923491
"d","gdT","GP170","#A192FFFF",0.914346330257283
"d","gdT","GP171","#A4FF73FF",0.958550520176068
"d","gdT","GP174","#FFCE71FF",0.96356561778685
"d","gdT","GP177","#470015FF",0.946637916895916
"d","gdT","GP179","#D4ADC5FF",0.945773427718672
"d","gdT","GP183","#FB766FFF",0.95910792801239
"d","gdT","GP187","#ABBC00FF",0.931321908988957
"d","gdT","GP197","#7500D7FF",0.981509450833646
"e","CD8aa","GP1","#0000FFFF",0.919464253762996
"e","CD8aa","GP2","#FF0000FF",0.962649176501561
"e","CD8aa","GP3","#00FF00FF",0.968454415857481
"e","CD8aa","GP22","#000033FF",0.947787321098444
"e","CD8aa","GP29","#FF00B6FF",0.965570130209912
"e","CD8aa","GP62","#005300FF",0.973453603061702
"e","CD8aa","GP121","#FFD300FF",0.953827620994798
"e","CD8aa","GP127","#009FFFFF",0.914505771722465
"e","CD8aa","GP171","#9A4D42FF",0.955301235524049
"f","Tz","GP2","#0000FFFF",0.96198965793509
"f","Tz","GP5","#FF0000FF",0.976867730511082
"f","Tz","GP6","#00FF00FF",0.955849695554994
"f","Tz","GP13","#000033FF",0.978093364213586
"f","Tz","GP21","#FF00B6FF",0.924223963698078
"f","Tz","GP30","#005300FF",0.992105080397934
"f","Tz","GP44","#FFD300FF",0.922287460290475
"f","Tz","GP121","#009FFFFF",0.927070205660329
"f","Tz","GP151","#9A4D42FF",0.950603729066207
"f","Tz","GP162","#00FFBEFF",0.927275090685467
"g","DN","GP2","#0000FFFF",0.970839918468711
"g","DN","GP5","#FF0000FF",0.977666671616084
"g","DN","GP10","#00FF00FF",0.969519597681978
"g","DN","GP12","#000033FF",0.906110567079143
"g","DN","GP16","#FF00B6FF",0.953483209935461
"g","DN","GP21","#005300FF",0.937870603061709
"g","DN","GP22","#FFD300FF",0.981350590438778
"g","DN","GP29","#009FFFFF",0.919632036558949
"g","DN","GP30","#9A4D42FF",0.96899831089341
"g","DN","GP44","#00FFBEFF",0.928353857946784
"g","DN","GP63","#783FC1FF",0.905155968736899
"g","DN","GP80","#1F9698FF",0.902436387518709
"g","DN","GP101","#FFACFDFF",0.976695874824603
"g","DN","GP117","#B1CC71FF",0.926866503033154
"g","DN","GP121","#F1085CFF",0.938269695247873
"g","DN","GP122","#FE8F42FF",0.938665697948983
"g","DN","GP127","#DD00FFFF",0.942555903183027
