"GP","B220","BTLA.CD272","CD103","CD11A","CD155.PVR","CD160","CD2","CD24","CD27","CD29","CD31","CD38","CD39","CD4","CD44","CD45RB","CD49B","CD5","CD55.DAF","CD62L","CD69","CD73.5NTD","CD80","CD86","CD8A","CD8B","FR4","GITR.CD357","GR1-LY6G-LY6C1-LY6C2","ICAM1","ICOS.CD278","IL2RA.CD25","IL7RA.CD127","ITA4.CD49D","ITAM.CD11B","ITAX.CD11C","ITB7","KLRG1","LY108","LY49A","NEUROPILIN1.CD304","SCA1","SLAM.CD150","TCRGD","TCRVG2","TCRVG3","THY1.2"
"GP1",0.278236114487334,0.298054021977083,0.489750888758309,0.612137998456702,0.355039996972688,0.365069264787748,0.678022313973537,0.335508355646641,0.610840248474261,0.459486785786417,0.548374954237278,0.414870523163468,0.273058016065782,0.596775044175566,0.629416567164742,0.89517081765684,0.330468100936183,0.7663843419767,0.657333330922093,0.584424623089446,0.442815467766953,0.584576733448899,0.320588316912514,0.322570583411266,0.456587106534041,0.356579852005759,0.365106552889091,0.343691441555966,0.134577577092806,0.302778836763853,0.245707268421489,0.185333089023321,0.516890179077547,0.468077166734314,0.253385922699163,0.137592673988237,0.548960470727729,0.302076568953133,0.281876889606582,0.270067613612656,0.311837695615014,0.442781564166983,0.461862078818009,0.381842759812409,0.17660535771121,0.207829797636539,1
"GP2",0.310351779575549,0.146600813823517,0.36216588573215,0.294387191468256,0.290462031273323,0.389439703475556,0.10572978092224,0.657884556027441,0.534631768653183,0.337881938463883,0.18179981472717,0.344923088166241,0.184848422904374,-0.222406223592723,0.784539876108913,1,0.304852655081181,0.0542353344213116,0.342023052883946,-0.0633812211556906,0.404200018530704,0.246283329726121,0.271213418744881,0.0510955790863006,0.305427712873909,0.161769433413604,-0.0806208269808227,0.0288019551825447,0.159102088379386,0.133020505743738,-0.215778476169792,0.207970271500611,0.334575195639713,0.180426631871995,0.486027351521759,0.258188538883826,0.334250671735782,0.37064663571519,0.0596265022771384,0.276894680355254,0.081751024157806,0.0807398384818802,0.170987047173636,0.415449679029567,0.164728507820096,0.142968254642107,0.989972820387989
"GP3",-0.0267332622625465,-0.273850584004851,0.0676409599713439,-0.585725523549816,-0.279821770446098,-0.102526425210537,-0.634654816729818,-0.152912981046793,-0.411718870153245,-0.142058710509077,-0.364030131219275,0.36205588088956,0.15849198521205,-0.416083009959645,-0.5326442691794,-0.0426274482054887,-0.0166165795787436,-0.705475695047251,-0.491732328455593,-0.419428503376583,0.032651220933159,0.124560321862834,-0.162923674048981,-0.113050912711782,0.178499132190986,-0.32580391757456,-0.267527392727334,-0.0560818355536731,0.0415341249966062,-0.032636396240714,-0.431896589339564,-0.155895196413264,-0.224918720478945,-0.251530223006342,0.0554937149469871,0.0971659438412337,0.162074093580622,-0.367008128951749,-0.255248866349047,-0.0857118107057725,-0.274537295698512,-0.506123179071402,-0.26440354237899,-0.0407514001033931,-0.0156125659754192,-0.147759430379829,-1
"GP4",0.393040984284834,0.455428001868319,0.186531642725398,0.611026424747519,0.344848730359962,0.524413778448803,0.66447914374182,0.0939880861531826,0.409260963238531,0.361733662995784,0.731520810878251,0.670950717484555,0.493621854221716,0.78781495094365,0.358699019553631,0.983141016168956,0.316045579710604,1,0.801776199100492,0.537959075329446,0.606022133544265,0.703283315343663,0.421203488219222,0.593602641156086,0.544381052778486,0.326000029602251,0.690305112714213,0.327536417125442,0.251481957701444,0.267517564663592,0.301785210185028,0.0722165436880171,0.534067209355829,0.530739347872397,0.0441252476116864,0.0979047070593091,0.186504697632572,0.386268450550268,0.473839316676038,0.31564645928914,0.48827750290945,0.68857317005517,0.497537383584737,0.412491750606736,0.265665148148784,0.293664813350162,0.70667063912075
"GP5",0.342726746407971,0.142978392820081,0.701336647412047,0.46018616373767,0.182805295551936,0.453641203695158,0.357212401621952,0.473669775791966,0.257774028032669,0.602082975488338,0.0774041959940874,0.750924216622958,0.41765796574228,-0.316773189214661,0.587027188671457,0.665149923716255,0.532316204511386,0.208059264711963,0.213887078175298,-0.244209175012115,0.579073789277519,0.773015973704246,0.335989176693312,0.109688805749152,1,0.940725161796785,-0.00121742398912352,0.230095705753267,0.222377002108411,0.606709388298322,0.150802565978464,0.180803882117131,0.308672245323171,0.354241498501242,0.348515808661979,0.377183303350765,0.6044764028996,0.357349491717705,0.211477152645338,0.285041524324163,0.357128847066742,0.187863971639523,0.409146516638621,0.403351277178345,0.206157162102544,0.181028541647971,0.428449851601592
"GP6",-0.326227916168339,-0.364222119009881,-0.038694225168622,-0.293791885347464,-0.132723652332094,-0.3780559993132,-0.243591824348388,0.117210212784924,-0.496648417643277,-0.150987871750787,-0.502100097836048,0.317496424928179,0.507516054285246,-0.10125434591964,-0.407407456561765,-0.143498140535592,-0.0487154557495193,-0.531611649251182,-0.326553133218212,-0.291152404692809,0.0695721396585514,-0.300311972354113,0.0863622288893916,0.548720471555603,0.0943174956441427,0.0568596597786294,-0.131871253203913,0.387491451969341,0.493242293605769,0.00911398444616686,-0.609463727279026,-0.017011664933374,-0.0349375186023927,-0.104319097314504,0.604340267165329,0.365961385177134,0.347104439322801,-0.540547891654609,-0.328617149802065,0.0602128755202008,-0.42857655312669,0.0918952431927283,-0.00642570610777783,-0.315411625123296,0.251583726797493,-0.2096145664409,-1
"GP7",0.374683692983471,0.147531875882541,0.740161548552269,0.375157936640453,0.110621522434351,0.534129014474344,0.155894467160866,0.847875557849836,0.567290808890282,0.82208594157941,0.285049078805208,0.746631686606682,0.454783733003381,-0.537004690373907,0.653920500145325,0.849157035277805,0.533795590429786,0.0218415748529962,0.228147925431207,-0.218755043891953,0.524378786073288,0.808801882884438,0.355815105649208,0.0954256852224142,0.614870749476154,0.504831011936112,-3.50682156208232e-05,0.220863264848587,0.140860810741075,0.592297266067585,0.0336409289218645,0.53147498430788,0.42122931432702,0.586155374853873,0.38788636609368,0.247510660966391,0.526273597401299,0.534009237346995,0.350726527747694,0.246218353084914,0.547436487902637,0.180458944858803,0.463464022151918,0.572454366619802,0.233164804683934,0.27396020777813,1
"GP8",-0.196769444113355,0.0976786440020611,-0.0259908842800832,0.220136716134367,0.2628794272433,-0.218467792446911,0.618928435124659,0.20212110249987,-0.0900588466652114,-0.00422337224760601,0.0689338976400641,-0.9824676643426,-0.131894210519792,0.577329565462401,0.481066529293883,-0.640397035556503,0.0455531472499793,-0.230735569324535,0.117302965795627,0.0196057990876199,-0.129581261243802,-1,-0.102235635347241,0.026517403122706,-0.673308392238523,-0.557119759663921,0.111336686967284,0.170688301357261,0.0128185315643887,-0.0588513401562433,0.252676318973759,0.152004767115669,-0.0428593431406375,-0.187871465254173,0.0174982637894858,-0.0400068927267431,0.0422846076044842,-0.0284192280890259,0.131963658053474,0.166285325552549,-0.0829374385307265,0.22303285177276,0.0367186919153755,0.273924208502541,-0.145913013231721,0.746633921441182,0.157935132358379
"GP9",0.23965860706124,0.311435822940757,0.434975699833632,0.498976152867104,0.314432061691518,0.340087494269649,0.679599543433295,0.06723284413671,0.608364533077792,0.162519156928206,0.544357320571968,0.228113930018995,0.172631845138489,0.991698180109619,0.270067326428022,1,0.174942713323606,0.95791609466063,0.68150106821477,0.934783215825065,0.34561173089136,0.359612540439393,0.286197338529232,0.479880089358204,0.55354745756806,0.472071802419878,0.497282460735471,0.290626970713674,0.0954782803108315,0.205954105803372,0.250261901677306,0.176185171977803,0.520945352324737,0.500693731636917,0.0587562970231706,0.141860153290524,0.497345860805555,0.14190392191223,0.169113803220628,0.129001486533653,0.343397045058896,0.265367239927341,0.394713080968962,0.26966929126293,0.170876568691465,0.0886411576950643,0.554501474187116
"GP10",0.0567819558708409,-0.118528561389188,-0.0433674987460303,0.466020893805496,0.0294364176724341,0.0487694347513698,0.0624661180513255,0.0464928296210694,-0.278499848981182,0.50561695738508,-0.462088226418499,0.375847884975892,0.305239134933743,-0.680066132445896,0.00432659435762818,0.270696348180204,0.27841941629716,-0.512582921021714,-0.42475261042613,-0.671087779989237,0.013520198781835,-0.205923630901898,0.214075317242837,-0.012571062627074,0.645927548097822,0.928904947648552,-0.388174980949507,-0.358165145188839,0.176960623304607,0.525278061397709,-0.151787421119473,-0.0256726726074449,-0.178967558825836,0.512173501634054,0.386941925596459,0.540518013416684,0.108687746924006,1,-0.133172913502684,-0.0695737365899493,0.0978649946926644,0.00113037771378676,0.226589997887895,0.0178789856561287,0.0324313675847244,0.0362329015992367,-0.0943364476398137
"GP11",0.137221161685464,0.236519623257062,0.250510170927595,0.0194567843094633,0.173332312677227,0.25174937896036,0.649955906481503,0.11146499900441,-0.451224060404531,0.47119841881652,0.613968137999515,0.316592825042768,0.296533213313298,0.41364899467622,-0.252492383340688,1,0.353779450155087,0.980978063701607,0.533319373100859,0.197533216412888,0.0871548788822596,0.464918582101138,-0.235575316313674,0.00302239374365242,0.522808859744245,0.280729659212473,0.321063123282733,0.218014583277109,0.208788764483884,0.404451414303951,0.422891894935555,0.0636879604213384,0.479584748755724,0.410657748908418,0.26421510457287,0.0648904896164181,0.16659694135374,0.00356026442801731,0.493202544939677,0.176382731247504,0.150987474765604,0.496539087298547,0.226516118423418,0.300146611128672,0.12025639454382,0.105310820182886,0.468676314829416
"GP12",0.0506030166781204,0.20472986582843,-0.0723767715660723,0.318379630085842,0.0197036930471974,0.0798169198524762,-0.0831385725578067,-0.198536350699585,0.218704812576139,0.147080105866474,0.063154465659803,0.467182891904744,-0.00697065832502834,-0.0544393816681636,-0.0134069071148562,-0.709817704082646,-0.148583172209956,0.199685963218699,-0.469012958066264,-0.927741163567447,0.230113362246553,0.956831806835162,0.16116303747222,-0.0569509962097207,-0.470187286662184,-0.424951702772952,1,0.300151430351105,-0.107837039115586,0.0283476063957546,0.480574053759487,-0.199874750482389,-0.0973675672508655,0.00866365250638254,-0.160390670197491,-0.177816978805661,-0.246467993770644,0.171889569402017,0.3014785404436,-0.229429713502792,0.412553769183525,0.0689767949546912,0.215151472937771,0.0180111368930722,0.0708447432320849,0.0777658888044502,0.00226768238771509
"GP13",0.224599061585879,0.0915490785622217,0.403276810861545,0.35843473030011,-0.0984006164579124,0.237623057289162,-0.422238850239249,0.0614001899580506,-0.025005126055478,0.282886351447438,0.235420659474431,0.193672485176469,-0.243025905979139,-1,0.657714528722852,-0.295664671471026,0.14582526078978,-0.417139203916498,0.115799309413672,-0.445723827187559,0.154749021745692,0.526410733024048,0.0404936396588577,-0.443127372400563,0.129768674599338,0.0844346441934159,-0.330270554015186,-0.376493329001038,-0.175132843422625,0.159705700086449,0.372422656232559,0.185044871378602,0.381382916498036,-0.114750614030431,-0.232409902415101,-0.156776501436891,0.107213813007719,0.19966855059754,-0.0780084982728474,0.159822157488506,0.478679782623148,-0.426343186248711,0.0141244492148615,0.646271543646964,0.129706041181333,0.168535874438317,0.428011573587222
"GP14",-0.117959854221093,-0.076843697091143,-0.232613679695346,0.100286685239707,0.539202856748837,-0.103849491184899,-0.000300553793811133,0.112508628922851,-0.0816010235888761,-0.0680779302050414,-0.0762552217234627,-0.262147283266864,-0.127422828598219,0.288334519029462,-0.327305857568154,-0.235684124550243,-0.102987258220458,0.0809157729569097,-0.26772525937722,0.00830597738637055,-0.0524754325831929,-0.314870257560801,-0.03887224998932,-0.141779533139059,0.646823578881318,1,-0.128714640458894,-0.197621436944327,-0.0343455202578548,-0.204193861615149,-0.0561466287040421,-0.191558445107361,-0.126057511665916,-0.228732287455595,-0.167151698929962,-0.0237813239546958,-0.373435647516513,-0.161789312252699,0.0898464795275471,-0.113052018947128,-0.06323959136901,-0.352239963051726,0.157508115688521,-0.106628356832422,-0.0217902685855678,-0.0277146868240509,-0.0645543868181882
"GP15",-0.0212260395629999,-0.0750628758308074,-0.126434209130366,-0.195874916505163,-0.14345967546498,0.0762969947251641,-0.297163769733785,0.180516293298634,-0.143471571399536,0.0894795075085241,-0.394746476027541,0.159709712819511,0.02628842355002,-1,0.0521433455987796,0.140745355733603,-0.0471238697639984,-0.405439280235181,-0.221667173197707,-0.498949330654554,0.306976891709695,0.184881903830443,-0.0245157732754026,-0.183950152827233,0.316051691511072,0.433169375311425,-0.268546880235366,-0.150783705384931,0.0707940868191099,0.31225605994272,-0.0591085713171373,0.340017494845019,-0.115848175906304,-0.0901819296002296,0.00911454476285518,0.1012931993301,-0.369270007721554,-0.119919155186862,0.0169382257451785,-0.0189962088693825,0.0111270566701864,-0.456015827516279,-0.168327774627729,-0.0969885620208511,-0.00910005463247554,-0.0232434283384223,-0.24394146193287
"GP16",0.0752715490018049,0.152034493858682,0.149880466624465,0.331707875406796,0.289063837360737,0.102188297328387,0.219905244294757,0.130120293287031,0.129117194402935,0.147855476721566,0.263136954345709,-0.208859295882966,0.0855493567582707,0.339705361759674,-0.0106776290337528,0.0115642300064592,0.255167554994612,0.289719765679048,0.0271384084895547,0.105984326541706,0.251564624238041,-0.0214223231559629,0.0772929360911817,0.246352812504917,-0.151937332318729,-0.0436322171258488,0.126930189972581,0.232467382810804,0.102755027347807,0.183017227155663,0.352990190391464,0.090014894374631,0.103106561492519,-0.0204919199920803,0.0438412859160494,-0.0149240596375717,0.00944187208288029,0.048985129263114,0.16667163517161,0.141657150305947,0.167979995534143,1,0.181076057164852,0.120997001765141,0.107087026156563,0.132042272584794,-0.020617465111563
"GP17",-0.24014186832983,-0.138924656537001,-0.448378081454246,0.145838644654163,0.179409306111991,-0.265459839182397,0.342828780370637,0.634224123245264,-0.281022715591174,0.120912837169448,0.0126682227825192,0.416882279734437,0.235649363927553,0.327283788861973,-1,0.21294691847935,-0.22517414617418,0.166031366253772,0.0182896871841391,-0.00754941111489591,0.0747402406195553,-0.341277115639827,0.12051129093176,0.271658677730153,0.0798132144465301,0.140483629210109,0.30063165594864,0.173376643009812,0.367861363273021,0.00312887726987406,-0.411118210765337,0.171443332231387,0.0689186874103797,0.217432060629928,0.451682080916088,0.286224204794717,-0.441682301511892,-0.718360911090185,-0.125112115382945,0.232272064001455,-0.222488395867733,0.457190150597549,-0.160285137239016,-0.335465685124835,-0.180934317445537,-0.150937248445784,-0.843858960559073
"GP18",0.197198569793902,0.0200420330087523,0.681902179834526,0.605633798048422,-0.0294250388168112,0.233670232922201,0.359154433781048,0.428922165618106,0.720551651959696,0.29411445820287,0.209389894847362,0.311754745918319,0.216072925194477,-0.275065923460357,0.323422411475935,0.526314339865385,0.313915487252184,0.453440607606551,-0.109241453735325,0.686794938515928,0.321789911514182,0.639292292538526,0.124124232257225,-0.0300794278099834,0.658169355656542,0.524653654847784,-0.217850353086509,0.289761044806549,0.0694965260876973,0.33762861703764,-0.0618911524666086,-0.312167753017518,0.18350569704573,0.341398845776341,0.341515430151871,0.0954304108693985,1,0.415557475065655,-0.0327937977530905,0.0167330607344767,0.119747632160798,-0.042920692920331,0.343447586371547,0.350093184449535,0.101346182088829,0.083854462674802,0.719621468151662
"GP19",-0.0256527108769341,-0.0166642738773353,-0.219755121267309,-0.102845740078384,-0.133587954058672,-0.092445545022053,-0.171026269583168,0.122293054783662,-0.211695792834216,0.11544233135012,-0.073437778062123,-0.125228627836635,0.0851570205818598,0.369859572009098,-0.271163588544532,-0.178523579197155,-0.101075709269908,-0.352588956847985,-0.408497687268256,-1,-0.0812560653528552,-0.103909390094684,-0.000801814982523978,0.427345802020528,0.0194162086764619,0.400513374814418,-0.456394120812076,0.255337231063049,-0.127938720834953,-0.183795212083326,0.0517217820898405,0.0680756444548578,0.0259988901895525,0.000119729070053735,0.0465815571920872,-0.236181939064852,-0.289463197360312,-0.260892789633234,0.0274725869675203,0.195748006578538,0.0808407193783625,-0.374309124514453,0.00132330487450616,-0.174562824701629,-0.0558580004138195,0.040888878045786,-0.893151632630573
"GP20",-0.222307780574031,-0.269364603024835,-0.471104520922667,-0.389473312195306,-0.418163607489668,-0.214941097423131,-0.423591583916588,-0.379367216667322,-0.301628099743121,-0.312832456800616,-0.554878317606346,-0.603295790516467,-0.278033687477019,-0.328733834533384,-0.0550720393836458,-0.814293586998298,-0.34293321885393,-0.568372968657939,-0.784177563115804,-0.595993396551768,-0.532902880576728,-0.630362440199249,-0.252046476402662,-0.291086098610827,-0.872871273741271,-1,-0.300492715978988,-0.0221543755743843,-0.308155979492946,-0.300121300053128,-0.107612122038702,-0.0102723985478192,-0.464395323249574,-0.440995408428026,-0.149838490909458,-0.327730450566377,-0.650672464862024,-0.143884907375472,-0.235803163757653,-0.381994911635461,-0.225188544719699,-0.27442965915296,-0.340452718579219,-0.17140690250588,-0.110467588308981,-0.0876023953243017,-0.485507319183273
"GP21",-0.319217140413538,-0.291243370041257,-0.598279211732643,-0.456081412852189,-0.232626176078221,-0.335324830684058,-0.623091831335236,-0.273314338183607,-0.554376127421124,-0.357451034552024,-0.568436923949945,-0.554460778196852,-0.289011343891273,-0.506730472717646,-0.580694164613104,-1,-0.377459245410036,-0.689845115216686,-0.878821277417155,-0.67956642696287,-0.532138949934553,-0.890345264568551,-0.302103146862728,-0.331313837986574,-0.668345950238329,-0.534403265772718,-0.317414508079641,-0.189562297663927,-0.203682757752323,-0.281387988566244,-0.0973145113439957,0.0156761381129479,-0.567274206562046,-0.391445773331876,-0.236743611012775,-0.158192802589194,-0.674047779373037,-0.294100629785214,-0.20202764164964,-0.279478839565411,-0.274564916976704,-0.293787808106163,-0.390018142648926,-0.365198639914909,-0.178230462642349,-0.176336440633326,-0.860293431727481
"GP22",-0.0174547662398045,-0.275373689657476,-0.4848034382297,-0.337055544617414,-0.263497245428749,-0.0994693622317036,-0.181716584555152,-0.232707349005428,-0.421980875838088,0.0329093237745035,-0.544084251784594,-0.0444483219527618,-0.142968518776584,-0.823570570891383,-0.274294267382415,-0.187790457586096,0.221283115666267,-0.98492949259287,-0.47885008634513,-0.12411110527763,-0.155941142351217,-0.461924061932894,-0.269896261781682,-0.211021341984381,-0.475830425037858,-0.633025302968339,-0.322402382065105,0.0116482557486548,0.0132418772358796,0.0848536818802595,-0.360748154169882,-0.1543778169227,-0.471553708197554,-0.125593766932486,-0.0860760884139752,0.0322295809112186,-0.479088882512898,-0.401878129021328,-0.241380416333482,0.810883640046374,-0.315997095482011,-0.55374105062941,-0.511198551652989,-0.506165181351745,-0.160029811770345,-0.175961028533673,-1
"GP23",-0.0416522463663481,-0.0965911922262555,0.596459166026403,-0.675281298077399,-0.304933660472332,-0.116240983775038,-0.703048292083088,-0.628177864599717,-0.0482503211554002,-0.625637097357457,-0.279739285131569,-1,-0.497489321282348,-0.498221630504672,0.410143563865537,-0.478341197536929,-0.0605212182897509,-0.740458023883463,-0.305541010933896,0.144786771862959,-0.418554527415383,-0.169184886607845,-0.280560532204162,-0.447560172014084,-0.245509886713942,-0.201976129864074,-0.536452960450461,-0.349617883379557,-0.332653105803955,-0.34251234485767,0.00493637736769301,-0.261750000008863,-0.182414735849189,-0.657071298981927,-0.485361118389973,-0.40817397902654,0.811958907414097,0.384418857446887,-0.159163785611665,-0.368807833770166,-0.157638325291704,-0.968517734794633,-0.135305193630544,0.106342882934743,0.25366275238187,-0.0394523503678764,0.368376425969786
"GP24",-0.239697614355735,0.152044609385327,-0.349193067708743,-0.191660778783414,0.372690628793175,-0.263903882461225,0.028207603856909,0.489998590434149,-0.494702159628761,0.581716139847987,0.00808141312388293,-0.477486326039992,0.0451244047706762,1,-0.146409442795522,-0.69103074727871,0.705201553836343,0.0520398331653367,0.106793805471222,-0.0554347893714049,-0.156056569609541,-0.621144380016934,0.037280007620923,0.152866472837954,-0.330699659605263,-0.603074057003502,0.15183816201303,0.00616190795311515,0.0931399580340976,-0.729896810494319,0.0906997726808228,0.186968562461262,-0.0689145894783997,-0.44335225234195,0.327886696578863,0.0249802868620639,-0.0973572603707029,-0.298481385731354,0.103754469880939,0.378414911887997,-0.0147141341556787,0.0135998386545369,-0.0653499633889395,-0.448162127155114,-0.379390146800455,0.352723933263514,-0.366835073992534
"GP25",0.00561243801476802,-0.117705587026106,0.117856350953186,0.0450929350849928,-0.141430180164586,0.0210713864421593,-0.0642289106722034,0.0573260786889064,-0.384573671161511,0.235309403666596,-0.330386140643047,-0.0203787931383608,0.169953743698602,-0.299622655919643,0.127531312788787,-0.665346711866544,0.25152032419977,-0.344081124458584,-0.559747367608354,-1,-0.0106201993388516,-0.325946795290376,0.163724859210531,-0.164185523819816,-0.173507113268422,-0.0671986445504705,-0.41906927592089,0.1484691815397,0.0931236973012902,0.275293028869641,0.390155632496914,0.0784797156537543,-0.194890088739193,0.119762181130521,0.300040112652944,0.268853107588583,0.151243202737014,0.0666821007386803,-0.0483978734284333,-0.069798232207157,0.0687391492348974,0.403788975045973,0.0948589344090335,-0.0200037849389957,0.0370069048376936,0.0130793044698067,-0.466253945784292
"GP26",-0.121177141942364,-0.0481774573798086,0.0419231790888519,0.575835452867533,0.131286730267233,0.026311577971732,0.131109701369277,-0.201018104213547,-0.298442009423955,0.60333192248323,-0.497296629674383,0.800874404211956,0.584461070594095,-0.261409305094279,0.789784299612197,-1,0.16854210775475,0.0113813178152289,-0.352149718148837,-0.985516600939734,0.290597120678976,-0.240158861621726,0.174234546109156,0.708818909785988,0.707055965136514,0.997552697104111,-0.350453761979321,0.107780451586714,0.0122318507872628,0.45829356766391,-0.0574387954938163,-0.0964524825486632,-0.15775796461463,0.245109023785955,0.249399682212726,0.427979325161713,-0.328659991445776,0.121678994805162,-0.281691493464387,-0.152257918493063,0.201408055484064,0.371604447746943,0.368576392682725,0.00529283732627594,0.0165003245242512,0.102075646141628,-0.0272784358697259
"GP27",-0.0133039625634722,-0.00864237989033104,0.239948780464271,-0.206948760612345,-0.153816013333563,-0.0483040592811279,0.116618619999158,-0.111057146459965,0.0322962131735022,-0.176788597440508,-0.261686791410655,0.267366546090128,-0.0426391044295016,-0.152333201019343,-0.11263616839142,-0.467500063970936,0.101133825893863,0.306168694380312,0.0218270546698555,-0.193148312035773,0.0516491427010284,0.316842421872395,0.0448778516580266,-0.195270580699781,-0.279759337356554,-0.224259240716652,0.221225207105465,0.560035964783869,-0.240518848129438,0.438396287144803,0.572354972683291,-0.0150710976955123,-0.0167291261497141,-0.325979320465393,-0.264411328427968,-0.214266314880869,0.0495998757458871,1,0.0700512058198615,-0.0669954614119233,0.0837347481692209,-0.405337234016285,-0.124456575349843,-0.091256672474125,-0.195727306830401,0.0295504770775867,-0.292378343314474
"GP28",0.170548875005676,0.122762342166099,0.0395069050300813,0.382307368233799,-0.193337218299113,0.233646431264625,0.303095847429233,-0.0035462816717554,-0.00940232163783673,0.0482114986351033,0.4027225601395,0.176888824860306,-0.0573490664510387,0.86609779532359,0.34936411347133,0.0657936463011886,0.185741595696829,0.771207061974591,0.099818902225438,0.0933802273896825,0.169779609747805,1,-0.0272541850465393,-0.130747938315729,-0.221778018709762,-0.373975196785461,-0.0325589660777371,-0.00252103671137927,-0.0494405415794564,0.0775183076598134,0.484390787654433,-0.0360738857394772,0.311260910407529,0.179674449562759,0.0230141140732596,-0.248262097827042,-0.0554368159346508,0.090105908453582,0.253848179502028,-0.00939117386327691,0.160501942911535,0.241125843743894,0.377961546339107,0.0697596412453872,-0.0332886549872225,0.129559342187603,0.550636029719233
"GP29",0.390234434391128,-0.232336182490998,0.659498342238412,-0.368499821550061,-0.343874111187794,0.481625324677302,-0.443088049476161,-0.0770118967990827,-0.15394518277763,0.209073806901837,-0.461124990720682,0.874560159817284,0.186359329976383,-0.967845329491674,-0.048062830923161,0.40957931877158,0.0120667811390278,-1,-0.503165105105343,-0.806092759108707,0.384208125963652,0.77450612277289,-0.126904440141133,-0.338235429753663,0.513597549349122,-0.291996473503158,-0.191765219325244,-0.0411060217456542,-0.0655691370881236,0.436079984554814,-0.379912784504463,-0.103194910359782,-0.241050479211803,-0.00849788643936651,-0.083467578605155,0.0807621533795337,0.691146282297562,-0.118080246443885,-0.124925773123754,0.093405368146679,-0.13677743390912,-0.593736291644842,-0.232839121340069,0.211302694879512,0.0215261488721858,-0.0237884866910722,-0.528481575294919
"GP30",-0.0261355000493049,0.0335913431953134,-0.307443241077942,0.932399088924087,0.188369305188715,0.162072521849638,0.000762303375416661,0.220962115202971,-0.096145165622529,0.549170706015863,-0.31573955523109,0.90035331011958,0.597498809506371,-0.592719383232956,1,-0.230208423721319,0.911258545584902,-0.249644016860809,-0.664675180856849,-0.825091379007527,0.346129599752364,0.169557810150964,0.0541119257701888,-0.0803282838959715,-0.593814788444705,-0.597718984098033,0.243862718190442,0.485163225595989,0.312549038832974,0.659916662550041,0.206207590833506,0.0500057237236007,0.119687175693313,-0.539755709053319,0.050804247745037,0.0814566953399803,-0.86734808125484,0.166458503627401,-0.0229963930838333,0.701342772370359,0.00126724318431505,0.328060350322798,0.0540594727352063,0.09609117368815,0.0843158240128037,0.0625873553300016,0.231579480100856
"GP31",0.119797937279567,0.190911178633811,0.0884449584420146,0.161416579244541,0.133958588246871,0.22176517282873,-0.107724136247462,0.0300663061062625,0.497260820985596,0.279744236470652,0.712599120619313,0.0072721109580154,0.510769004213314,0.115017752395134,0.196092559697957,0.0226784845902205,0.149846015676872,0.405624778168279,1,0.0388489379570102,0.108244365070774,0.0960494713109979,0.272667371867212,-0.603426470279732,0.509348218344518,0.574875751886185,0.045411939908267,0.0549192780044147,-0.0950358900070822,0.0554851317447797,0.672796898690493,0.332096870596362,0.192219053463115,0.432089413757255,-0.159046723906789,-0.0467542100878129,-0.0582349353263612,0.581832442099152,0.201882291654027,0.000587478250013976,0.435001392172947,0.23405973871807,0.0335550234621901,0.42799129803764,0.00685777858718833,0.224779388309097,0.85205358191069
