"GP","mean_change_loadings_CD4","mean_change_loadings_CD8","AveExpr_CD4","AveExpr_CD8","d_CD4","d_CD8","Ratio_CD8_CD4"
"GP1",0.0328893823241621,0.0254160612793559,0.350100454027972,0.346432178814325,0.532829615202911,0.411756901299538,0.772774053001415
"GP2",-0.0109897659472005,-0.0108149994656132,0.0193382288535667,0.0131595485750005,-0.275824744592159,-0.271438398206013,0.984097342707116
"GP3",0.00463993356810519,0.010195512250951,0.00157507459853573,0.00382048785213557,0.210027354550405,0.461501535511844,2.19734013457322
"GP4",0.0146436860696586,0.0377819380225243,0.161296011937536,0.176025655271829,0.122918189579401,0.317139236558225,2.58008385612744
"GP5",0.00146341592087635,0.0018177000197137,0.00082815888020768,0.00145402610792134,0.107899096994166,0.134020812494602,1.24209392134068
"GP6",0.0730539975086511,0.0269540706659177,0.0247800249943574,0.0105534844639667,1.1495021633277,0.424121384148634,0.368960927329483
"GP7",-2.62716809994884e-05,-6.69775272886056e-05,8.84860053267277e-05,8.94551421425688e-05,-0.00920220354121289,-0.0234602741563775,2.54941917458232
"GP8",3.24131557594416e-05,3.22776297077608e-05,1.77569085526171e-05,1.66140042393011e-05,0.0235208963694195,0.023422550677917,0.995818794915046
"GP9",-0.046599989291732,-0.0422459745273989,0.10025105719194,0.0847635154448269,-0.330098689247174,-0.299256309484563,0.906566185303704
"GP10",0.0127785977395955,0.133513722513834,0.00450218794425304,0.049804973985504,0.135275938409707,1.41339405713259,10.4482295502684
"GP11",-0.02934976255621,-0.0224072920248708,0.0985014857868684,0.0801370280083012,-0.261017389705356,-0.199275645364971,0.763457352745419
"GP12",0.106256620377979,0.00780704853111776,0.0640608894830373,0.0326766666865086,1.44488516686123,0.106160807481466,0.0734735257280565
"GP13",0.0104655489734647,0.0004677439952216,0.00351389954040142,0.000278850056150347,0.69035192892895,0.0308543746883127,0.0446936894001033
"GP14",-3.03907340143915e-05,-2.48176699226442e-05,2.59568706010376e-05,2.47615908801623e-05,-0.021301587195618,-0.0173952942235264,0.816619628564806
"GP15",-0.00234676389803452,-0.0216540267553048,0.0541406747453245,0.0677791141389199,-0.0365807910304153,-0.33753775928045,9.22718590201623
"GP16",0.00337064565676508,0.000698982185468006,0.0188651001353119,0.0165355553831687,0.0615833322106205,0.0127707438041096,0.207373380843254
"GP17",-0.000606427793627105,0.00304977935181496,0.0199870126169424,0.0196223574580884,-0.0471442844265114,0.23709280265686,-5.02908900921893
