"GP","Positive markers","Negative markers","Prop. positive among gated (True Discovery Proportion)","Prop. positive among all cells","Well aligned"
"GP33","CD24","",0.023,0.001,FALSE
"GP37","LY49A, ITB7, CD103, CD49B, CD29, CD8B","",0.023,0,FALSE
"GP151","","CD4",0.022,0.016,FALSE
"GP62","","CD45RB, GITR.CD357, CD2, IL7RA.CD127, CD11A, CD86, CD4, CD5, GR1-LY6G-LY6C1-LY6C2, ITA4.CD49D, CD73.5NTD, CD24, CD38, CD69, ITAM.CD11B",0.018,0.089,FALSE
"GP168","ITAM.CD11B, SCA1, CD24, THY1.2","",0.018,0.001,FALSE
"GP36","CD4, CD86","THY1.2, CD44, KLRG1, TCRGD, CD27",0.015,0.006,FALSE
"GP83","THY1.2, ICOS.CD278, CD44","CD45RB, GITR.CD357, CD86, ITAM.CD11B, GR1-LY6G-LY6C1-LY6C2",0.014,0.004,FALSE
"GP109","KLRG1, THY1.2","CD4, SCA1",0.013,0.005,FALSE
"GP110","","CD45RB, CD4, ITAM.CD11B, CD62L, IL7RA.CD127, CD73.5NTD, ITB7",0.013,0.008,FALSE
"GP118","","THY1.2, CD73.5NTD, CD45RB, CD44, CD103, CD55.DAF, ITB7, CD5, CD38, IL7RA.CD127, CD69, CD27, CD2, CD11A, TCRGD",0.009,0.009,FALSE
"GP20","","CD8B, CD8A, CD45RB, CD55.DAF, ITB7, CD73.5NTD, CD38, CD62L, CD5, CD31, CD69",0.006,0.002,FALSE
"GP161","THY1.2, KLRG1, CD44","CD86, GITR.CD357, ITAM.CD11B",0.006,0.013,FALSE
"GP149","ITB7, CD103, TCRGD","",0.005,0.001,FALSE
"GP64","CD55.DAF, CD44, CD38, CD27, ITA4.CD49D, SLAM.CD150","CD4, IL2RA.CD25",0.004,0,FALSE
"GP162","THY1.2, KLRG1","GITR.CD357, CD86",0.004,0.024,FALSE
"GP187","ITAM.CD11B, CD4, CD86, GR1-LY6G-LY6C1-LY6C2","THY1.2, KLRG1, ICOS.CD278, CD44",0.004,0.002,FALSE
"GP81","CD86, ITAM.CD11B","THY1.2, ICOS.CD278, KLRG1, CD44",0.003,0.009,FALSE
"GP111","FR4","THY1.2",0.002,0,FALSE
"GP65","CD4, CD49B, CD29","CD8B, ICAM1, CD73.5NTD, CD45RB",0.001,0.001,FALSE
